Brand,Date,Expiry,Floor,Lease Start,Parent Group,Sales Category,Tcode,Unit,GLA,Sales
Burger King,2/1/2017,,Second Floor,4/4/2020,Others,Food Court,t0000709,L2-130,60,67097
Burger King,2/1/2018,,Second Floor,4/4/2020,Others,Food Court,t0000709,L2-130,60,48387
Burger King,1/1/2017,,Second Floor,4/4/2020,Others,Food Court,t0000709,L2-130,60,80242
Burger King,1/1/2018,,Second Floor,4/4/2020,Others,Food Court,t0000709,L2-130,60,62483
Burger King,7/1/2017,,Second Floor,4/4/2020,Others,Food Court,t0000709,L2-130,60,86275
Burger King,7/1/2018,,Second Floor,4/4/2020,Others,Food Court,t0000709,L2-130,60,81279
Burger King,6/1/2017,,Second Floor,4/4/2020,Others,Food Court,t0000709,L2-130,60,58444
Burger King,6/1/2018,,Second Floor,4/4/2020,Others,Food Court,t0000709,L2-130,60,67040
Burger King,3/1/2017,,Second Floor,4/4/2020,Others,Food Court,t0000709,L2-130,60,67398
Burger King,3/1/2018,,Second Floor,4/4/2020,Others,Food Court,t0000709,L2-130,60,54264
Burger King,5/1/2017,,Second Floor,4/4/2020,Others,Food Court,t0000709,L2-130,60,53635
Burger King,5/1/2018,,Second Floor,4/4/2020,Others,Food Court,t0000709,L2-130,60,46146
Burger King,11/1/2017,,Second Floor,4/4/2020,Others,Food Court,t0000709,L2-130,60,61369
Burger King,11/1/2018,,Second Floor,4/4/2020,Others,Food Court,t0000709,L2-130,60,63054
Burger King,10/1/2017,,Second Floor,4/4/2020,Others,Food Court,t0000709,L2-130,60,53713
Burger King,10/1/2018,,Second Floor,4/4/2020,Others,Food Court,t0000709,L2-130,60,55388
Burger King,9/1/2017,,Second Floor,4/4/2020,Others,Food Court,t0000709,L2-130,60,66609
Burger King,9/1/2018,,Second Floor,4/4/2020,Others,Food Court,t0000709,L2-130,60,68645
Chick'n Flavor,4/1/2017,9/30/2021,Second Floor,10/1/2018,Others,Food Court,t0118103,L2-127,66,0
Chick'n Flavor,4/1/2018,9/30/2021,Second Floor,10/1/2018,Others,Food Court,t0118103,L2-127,66,0
Chick'n Flavor,8/1/2017,9/30/2021,Second Floor,10/1/2018,Others,Food Court,t0118103,L2-127,66,0
Chick'n Flavor,8/1/2018,9/30/2021,Second Floor,10/1/2018,Others,Food Court,t0118103,L2-127,66,0
